Year,Region,SiteCode,TidalHeight,Blade,Prevalence,LesionArea,BladeArea,BladeAreaLog,Meadow,site_unique_code,Epifauna_large,Ampithoid_large,Lacuna_large,Idoteid_large,Richness_large,Density,CanopyHeight,DensityLog,Latitude,Longitude
2019,AK,A,U,16,0,0,2.68,0.42813479402878885,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,17,1,0.289619136,2.44,0.3873898263387294,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,18,1,0.085753152,3.84,0.5843312243675308,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,19,1,0.66337344,6.24,0.795184589682424,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,20,0,0,3.356022413,0.5258248525767221,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,16,0,0,6.57,0.8175653695597808,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,17,0,0,6.24,0.795184589682424,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,18,0,0,3.28,0.5158738437116791,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,19,1,0.092764416,5.76,0.7604224834232121,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,20,1,0.18696704,4.28,0.631443769013172,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,16,1,1.687017984,6.14,0.7881683711411677,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,17,0,0,1.595,0.2027606873931999,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,18,0,0,2.04,0.3096301674258988,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,19,1,0.3813228736,4.5213843776,0.6552714293910038,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,U,20,0,0,4.78,0.6794278966121189,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,16,1,5.201315187,12.239761318,1.0877729489136094,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,17,1,10.23766792,25.29403376,1.4030180938764247,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,18,1,3.632050483,21.121037293,1.3247152433865674,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,19,1,5.943592314,11.782303309,1.0712301984822619,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,20,1,3.822343379,14.021575189,1.1467968051758197,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,16,0,0,26.43965632,1.4222558056056747,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,17,1,2.645817325,42.84,1.631849462159818,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,18,0,0,27.36,1.4371160930480786,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,19,1,0.315147328,24.75,1.3935752032695876,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,20,0,0,18.44,1.2657609167176105,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,16,1,1.204355379,18.18,1.2595938788859486,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,17,1,7.595320269,11.922097127,1.07635265562031,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,18,1,0.92674528,7.06,0.8488047010518037,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,19,1,0.034876544,11.279236124,1.052279688444749,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,A,L,20,0,0,4.94,0.693726948923647,AK_A,AK.A.2019,0.10015757423186153,-1.9288483035925799,-0.6435969760621376,-0.717292022507621,29,665.5,0.4033333333333333,2.823148059810694,55.49666066666666,-133.16919683333333
2019,AK,B,U,16,1,1.846982669,24.95,1.3970705499594087,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,17,1,0.247911104,36.66,1.5641924606261979,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,18,1,0.718744448,35.805,1.5539436780624358,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,19,1,1.895378368,28.875,1.4605219929002007,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,20,1,0.134472448,17.6,1.24551266781415,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,16,0,0,22.55,1.3531465462139793,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,17,1,1.024327693,37.55,1.574609941340187,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,18,1,1.362342528,37.7,1.5763413502057928,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
2019,AK,B,U,19,0,0,33.3,1.5224442335063197,AK_B,AK.B.2019,-0.4037966956525435,-2,-1.0585177786600788,-1.8122817180235788,25,214.83333333333334,0.7422666666666666,2.3321016669697596,55.73959433333333,-133.31216516666666
